canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
IBEW Local 223,union_local,electrical construction and apprenticeship,IBEW,223,,https://www.ibew223.org/,508-880-2690,,475 Myles Standish Blvd,Taunton,MA,02780,,,,active,1,1,canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program,https://www.ibew223.org/contact/,IBEW Local 223,Contact - IBEW Local 223,2026-08-16,,4,official_organization_page,ibew223-contact,manual_csv,verified
Teamsters Local 653,union_local,transportation and warehouse workers,International Brotherhood of Teamsters,653,,https://teamsterslocal653.org/,508-230-7140,,4 Hampden Dr,South Easton,MA,02375,,,,active,1,1,canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program,https://teamsterslocal653.org/,Teamsters Local 653,Home - Teamsters Local 653,2026-08-16,,4,official_organization_page,teamsters653-home,manual_csv,verified
Laborers Local 876,union_local,construction labor,LIUNA,876,,https://laborerslocal876.org/,508-824-4670,,5 Hill St,Taunton,MA,02780,,,,active,1,1,canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program,https://laborerslocal876.org/,Laborers Local 876,Home - Laborers Local 876,2026-08-16,,4,official_organization_page,laborers876-home,manual_csv,verified

